Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Rect_L9.0mm_W3.3mm_P7.50mm_MKT,2,10n,
"C10, C2, C4, C5, C6, C7, C8, C9",C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,8,100n,
"C11, C12, C13, C15",CP_Radial_D4.0mm_P2.00mm,4,10u,
C14,CP_Radial_D4.0mm_P2.00mm,1,22u,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,15,1N4148,
"J1, J2, J3, J4, J5, J6, J7",Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical,7,AudioJack2,
J8,IDC-Header_2x08_P2.54mm_Vertical,1,16 Pin IDC,
Q1,TO-92_Inline,1,BC557B,
Q2,TO-92_Inline,1,BC547B,
"R1, R13, R19, R2, R20, R21, R23, R29, R3, R5, R54, R55, R56, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15,100k,
"R10, R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,47k,
"R14, R15, R17, R18, R26, R30, R31, R52",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,8,10k,
"R16, R22, R27, R32, R39, R4, R53",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,7,1k,
R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,68k,
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,14k,
R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,20k,
R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,200,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,2k,
"R35, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,100,
"R37, R38",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,33,
"R40, R41",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,82,
R42,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470,
"R43, R44",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,47,
R45,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,330,
"R46, R47",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,30,
R48,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,120,
"R49, R50",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,39,
R51,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,6.8k,
"R6, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,1M,
"RV1, RV2, RV5",TRIM_3362P-1-253LF,3,100k,
RV3,Potentiometer_Alps_RK09L_Single_Vertical,1,1M,
RV4,TRIM_3362P-1-253LF,1,1k,
RV6,Potentiometer_Alps_RK09L_Single_Vertical,1,250k,
RV7,TRIM_3362P-1-253LF,1,10k,
RV8,Potentiometer_Alps_RK09L_Single_Vertical,1,100k,
"TH1, TH2, TH3, TH4, TH5",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,5,10k NTC,
"U1, U2, U3",DIP-14_W7.62mm,3,TL074,
U4,SOT-223-3_TabPin2,1,AMS1117-2.5,
U5,DIL08,1,TC7660,
