Designator,Mid X,Mid Y,Rotation,Layer
C1,177.12,-20.475,90.0,bottom
C10,162.725,-36.375,90.0,bottom
C11,150.692401,-27.5225,180.0,bottom
C12,158.7674,-27.7475,180.0,bottom
C13,135.15,-90.2,0.0,bottom
C14,135.197599,-94.85,0.0,bottom
C15,161.55,-92.652401,270.0,bottom
C2,184.1,-28.875,180.0,bottom
C3,166.075,-79.25,270.0,bottom
C4,173.575,-67.85,180.0,bottom
C5,153.5,-56.025,90.0,bottom
C6,157.85,-46.075,270.0,bottom
C7,157.875,-36.35,270.0,bottom
C8,158.4,-56.025,270.0,bottom
C9,162.7,-46.1,90.0,bottom
D1,174.16,-26.625,0.0,bottom
D10,178.11,-94.15,0.0,bottom
D11,178.11,-91.625,180.0,bottom
D12,178.11,-99.2,0.0,bottom
D13,178.11,-96.675,180.0,bottom
D14,178.11,-104.275,0.0,bottom
D15,178.11,-101.75,180.0,bottom
D2,183.375,-61.15,180.0,bottom
D3,173.625,-61.15,0.0,bottom
D4,178.11,-79.025,0.0,bottom
D5,178.11,-76.475,180.0,bottom
D6,178.11,-84.075,0.0,bottom
D7,178.11,-81.55,180.0,bottom
D8,178.11,-89.125,0.0,bottom
D9,178.11,-86.6,180.0,bottom
J1,126.5,-90.668333,0.0,top
J2,126.5,-74.471667,0.0,top
J3,126.5,-58.275,0.0,top
J4,126.5,-106.865,0.0,top
J5,140.5,-106.865,0.0,top
J6,154.5,-106.865,0.0,top
J7,168.5,-106.865,0.0,top
J8,151.015,-20.33,90.0,bottom
Q1,172.36009,-18.433358,0.0,bottom
Q2,172.37,-22.475,180.0,bottom
R1,132.05,-42.205,270.0,bottom
R10,171.39,-29.625,180.0,bottom
R11,176.68,-29.625,180.0,bottom
R12,165.775,-29.625,0.0,bottom
R13,186.575,-33.125,180.0,bottom
R14,186.575,-39.125,180.0,bottom
R15,186.12,-42.125,0.0,bottom
R16,186.575,-36.125,180.0,bottom
R17,170.4,-44.63,270.0,bottom
R18,170.4,-49.75,270.0,bottom
R19,167.15,-49.245,90.0,bottom
R2,128.145,-46.075,180.0,bottom
R20,187.1,-46.625,270.0,bottom
R21,190.1,-46.175,90.0,bottom
R22,189.875,-62.68,270.0,bottom
R23,181.1,-46.625,270.0,bottom
R24,143.23,-66.6,180.0,bottom
R25,184.1,-46.175,90.0,bottom
R26,167.15,-62.625,270.0,bottom
R27,171.55,-63.975,180.0,bottom
R28,167.15,-67.375,90.0,bottom
R29,176.65,-64.0,180.0,bottom
R3,127.67,-35.9,0.0,bottom
R30,173.17,-71.735,0.0,bottom
R31,178.465,-71.735,0.0,bottom
R32,168.02,-71.725,0.0,bottom
R33,170.82,-75.925,180.0,bottom
R34,170.38,-78.975,0.0,bottom
R35,185.42,-79.025,0.0,bottom
R36,185.42,-76.0,0.0,bottom
R37,185.42,-82.525,0.0,bottom
R38,189.875,-79.505,270.0,bottom
R39,170.32,-82.575,0.0,bottom
R4,132.35,-23.695,90.0,bottom
R40,185.42,-86.55,0.0,bottom
R41,189.875,-84.6,270.0,bottom
R42,170.32,-86.625,0.0,bottom
R43,185.42,-90.625,0.0,bottom
R44,189.875,-89.72,270.0,bottom
R45,170.32,-90.675,0.0,bottom
R46,185.42,-94.675,0.0,bottom
R47,189.875,-94.845,270.0,bottom
R48,170.32,-94.725,0.0,bottom
R49,184.5,-103.22,270.0,bottom
R5,127.97,-25.0,0.0,bottom
R50,185.42,-97.675,0.0,bottom
R51,152.625,-64.155,90.0,bottom
R52,151.805,-68.5,180.0,bottom
R53,167.1,-97.875,180.0,bottom
R54,138.775,-45.235,270.0,bottom
R55,145.275,-44.78,90.0,bottom
R56,142.025,-45.24,270.0,bottom
R6,133.22,-28.175,180.0,bottom
R7,134.33,-85.275,180.0,bottom
R8,133.225,-70.375,270.0,bottom
R9,167.745,-25.1,90.0,bottom
RV1,128.02,-41.0,90.0,bottom
RV2,127.95,-30.22,90.0,bottom
RV3,142.0,-78.175,90.0,top
RV4,128.02,-19.75,90.0,bottom
RV5,177.07,-45.425,90.0,bottom
RV6,142.0,-60.15,90.0,top
RV7,169.545,-55.875,90.0,bottom
RV8,142.0,-37.525,90.0,top
TH1,132.55,-45.65,180.0,bottom
TH2,134.5,-31.67,270.0,bottom
TH3,138.775,-85.3,180.0,bottom
TH4,133.25,-74.845,270.0,bottom
TH5,140.98,-48.785,0.0,bottom
U1,174.35,-36.38,270.0,bottom
U2,181.4,-54.43,270.0,bottom
U3,159.24,-70.75,0.0,bottom
U4,141.95,-92.775,0.0,bottom
U5,152.85,-91.425,270.0,bottom
